REM2	NM_173527	['ENST00000536884', 'ENST00000267396']
TARS2	NM_025150	['ENST00000369064']
DPYSL2	NM_001386	['ENST00000311151']
DPYSL3	NM_001197294	['ENST00000343218']
IGFBP3	NM_001013398	['ENST00000275521']
IGFBP1	NM_000596	['ENST00000275525']
IGFBP6	NM_002178	['ENST00000301464']
IGFBP7	NM_001553	['ENST00000295666']
IGFBP4	NM_001552	['ENST00000269593']
IGFBP5	NM_000599	['ENST00000233813']
CYP2R1	NM_024514	['ENST00000530609', 'ENST00000334636', 'ENST00000534686', 'ENST00000532805']
DAW1	NM_178821	['ENST00000309931', 'ENST00000373666']
GJA1	NM_000165	['ENST00000282561']
GJA3	NM_021954	['ENST00000241125']
GJA4	NM_002060	['ENST00000342280']
GJA5	NM_005266	['ENST00000271348']
GJA8	NM_005267	['ENST00000240986']
KDM3B	NM_016604	['ENST00000510866', 'ENST00000394866', 'ENST00000314358']
KDM3A	NM_018433	['ENST00000312912', 'ENST00000409064']
ZNF112	NM_001083335	['ENST00000354340']
SEZ6L	NM_021115	['ENST00000529632']
TMC4	NM_001145303	['ENST00000376591']
MYO3A	NM_017433	['ENST00000265944', 'ENST00000376302']
TMC6	NM_007267	['ENST00000586271', 'ENST00000322933', 'ENST00000322914', 'ENST00000588087', 'ENST00000392467']
TMC1	NM_138691	['ENST00000340019', 'ENST00000297784']
TMC3	NM_001080532	['ENST00000558726', 'ENST00000359440', 'ENST00000559982']
EIF2B4	NM_015636	['ENST00000347454']
EIF2B5	NM_003907	['ENST00000432569', 'ENST00000491144']
EIF2B2	NM_014239	['ENST00000266126']
EIF2B3	NM_020365	['ENST00000360403']
EIF2B1	NM_001414	['ENST00000424014', 'ENST00000537073']
PRKAR2B	NM_002736	['ENST00000265717']
MAGT1	NM_032121	['ENST00000373336', 'ENST00000358075']
IFT140	NM_014714	['ENST00000426508']
RSPH9	NM_152732	['ENST00000372163']
CFLAR	NM_003879	['ENST00000309955']
CFLAR	NM_001202518	['ENST00000309955']
MECOM	NM_001105078	['ENST00000392736']
RSPH3	NM_031924	['ENST00000367069']
RSPH1	NM_080860	['ENST00000291536']
MYT1L	NM_015025	['ENST00000428368', 'ENST00000407844', 'ENST00000399161']
CFHR2	NM_005666	['ENST00000367415', 'ENST00000476712']
CFHR3	NM_021023	['ENST00000367425', 'ENST00000471440']
CFHR1	NM_002113	['ENST00000320493']
PHACTR1	NM_030948	['ENST00000379350', 'ENST00000415087']
OR2K2	NM_205859	['ENST00000302681']
CFHR4	NM_001201550	['ENST00000367416']
CFHR5	NM_030787	['ENST00000367414']
TMEM147	NM_032635	['ENST00000222284']
ASGR1	NM_001671	['ENST00000269299']
FOXL2	NM_023067	['ENST00000330315']
ITGA6	NM_000210	['ENST00000442250', 'ENST00000343713', 'ENST00000375221']
ITGA6	NM_001079818	['ENST00000442250', 'ENST00000264106']
FOXL1	NM_005250	['ENST00000320241']
RTKN2	NM_145307	['ENST00000395260', 'ENST00000373789', 'ENST00000315289']
FANCI	NM_001113378	['ENST00000310775', 'ENST00000566895']
HLA-DPA1	NM_001242524	['ENST00000419277', 'ENST00000515317', 'ENST00000422504', 'ENST00000454805', 'ENST00000383224', 'ENST00000443117', 'ENST00000374808']
ZNF559	NM_001202406	['ENST00000587557']
ZMAT5	NM_001003692	['ENST00000397781', 'ENST00000489010']
SMOC2	NM_022138	['ENST00000354536']
NR1D2	NM_005126	['ENST00000312521']
CASP9	NM_001229	['ENST00000546424']
ITGB1BP1	NM_004763	['ENST00000355346', 'ENST00000359712']
PLPBP	NM_007198	['ENST00000328195']
ZNF7	NM_003416	['ENST00000325241', 'ENST00000525266', 'ENST00000528017']
MLANA	NM_005511	['ENST00000381477']
ZAP70	NM_001079	['ENST00000264972']
SYNDIG1	NM_024893	['ENST00000376862']
CDC5L	NM_001253	['ENST00000371477']
RAC2	NM_002872	['ENST00000249071']
RAC3	NM_005052	['ENST00000306897']
RAC1	NM_018890	['ENST00000348035']
SBDS	NM_016038	['ENST00000246868']
VCL	NM_014000	['ENST00000211998']
VCP	NM_007126	['ENST00000493886', 'ENST00000358901']
CPLX1	NM_006651	['ENST00000304062']
AP2A2	NM_001242837	['ENST00000332231', 'ENST00000448903']
CADPS	NM_003716	['ENST00000383710', 'ENST00000473635']
PBX3	NM_006195	['ENST00000373487']
PBX1	NM_002585	['ENST00000420696']
AIRE	NM_000383	['ENST00000355347', 'ENST00000329347', 'ENST00000530812']
NSUN3	NM_022072	['ENST00000314622', 'ENST00000477077']
NSUN2	NM_017755	['ENST00000264670']
NSUN7	NM_024677	['ENST00000473399', 'ENST00000381782']
TUBG1	NM_001070	['ENST00000251413']
PRAMEF1	NM_023013	['ENST00000332296']
PRAMEF2	NM_023014	['ENST00000240189']
HCFC1	NM_005334	['ENST00000310441']
PTCH2	NM_003738	['ENST00000372192']
PTCH1	NM_000264	['ENST00000331920']
PTCH1	NM_001083602	['ENST00000468211', 'ENST00000437951']
PTCH1	NM_001083603	['ENST00000468211', 'ENST00000437951']
TIMM44	NM_006351	['ENST00000270538']
TUFM	NM_003321	['ENST00000313511']
KMT5B	NM_017635	['ENST00000304363']
RAD9A	NM_004584	['ENST00000307980']
NPAS2	NM_002518	['ENST00000335681']
ERGIC2	NM_016570	['ENST00000360150']
ERGIC1	NM_001031711	['ENST00000393784', 'ENST00000326654', 'ENST00000523215']
B3GAT3	NM_012200	['ENST00000265471', 'ENST00000531383']
CPPED1	NM_018340	['ENST00000381774']
CALM2	NM_001743	['ENST00000272298']
CALM3	NM_005184	['ENST00000356978', 'ENST00000291295']
SPG21	NM_016630	['ENST00000204566']
CALM1	NM_006888	['ENST00000356978']
GSDMA	NM_178171	['ENST00000301659']
GSDMB	NM_001042471	['ENST00000309481', 'ENST00000477054']
GSDME	NM_004403	['ENST00000342947']
DLGAP3	NM_001080418	['ENST00000235180']
DLGAP1	NM_004746	['ENST00000315677']
SRPX2	NM_014467	['ENST00000373004']
DLGAP5	NM_014750	['ENST00000247191']
BRDT	NM_207189	['ENST00000399546']
MBNL1	NM_021038	['ENST00000282486']
MBNL3	NM_001170702	['ENST00000538204']
HRH3	NM_007232	['ENST00000317393', 'ENST00000340177']
CDX2	NM_001265	['ENST00000381020']
CLCN2	NM_004366	['ENST00000265593']
CLCN1	NM_000083	['ENST00000343257']
CLCN7	NM_001287	['ENST00000382745']
CLCN6	NM_001286	['ENST00000312413', 'ENST00000346436']
CLCN5	NM_000084	['ENST00000376088']
CLCN4	NM_001830	['ENST00000380833']
BRD4	NM_058243	['ENST00000263377']
BRD2	NM_001199456	['ENST00000436979', 'ENST00000439194', 'ENST00000449025', 'ENST00000446150', 'ENST00000518754', 'ENST00000427021']
BRD3	NM_007371	['ENST00000303407', 'ENST00000371834']
GLG1	NM_012201	['ENST00000205061']
PTPN13	NM_080685	['ENST00000436978']
PTPN12	NM_002835	['ENST00000248594']
PTPN11	NM_002834	['ENST00000351677']
MCUB	NM_017918	['ENST00000394650', 'ENST00000472310']
PTPN14	NM_005401	['ENST00000491277', 'ENST00000366956']
GALR3	NM_003614	['ENST00000249041']
MAGEL2	NM_019066	['ENST00000532292']
UTRN	NM_007124	['ENST00000367545']
CH25H	NM_003956	['ENST00000371852']
CSF2RB	NM_000395	['ENST00000403662', 'ENST00000262825']
CSF2RA	NM_006140	['ENST00000381524']
DMD	NM_004006	['ENST00000357033']
FAAH2	NM_174912	['ENST00000374900']
GAB2	NM_080491	['ENST00000361507']
GAB3	NM_001081573	['ENST00000496390', 'ENST00000369575']
GAB1	NM_207123	['ENST00000262995']
ZNF853	NM_017560	['ENST00000457543']
HABP2	NM_004132	['ENST00000351270', 'ENST00000537906']
NDRG1	NM_006096	['ENST00000414097']
NDRG3	NM_022477	['ENST00000349004']
NDRG4	NM_001130487	['ENST00000394282']
SRSF7	NM_001031684	['ENST00000425778', 'ENST00000313117']
CHD1L	NM_004284	['ENST00000431239', 'ENST00000369258']
SRSF2	NM_003016	['ENST00000392485']
TRAPPC6B	NM_177452	['ENST00000469361']
DNAJB13	NM_153614	['ENST00000339764']
VIL1	NM_007127	['ENST00000248444', 'ENST00000440053']
HLA-DQB1	NM_002123	['ENST00000487676', 'ENST00000434651', 'ENST00000374943']
RNF135	NM_032322	['ENST00000328381']
HOXA2	NM_006735	['ENST00000222718']
CISD2	NM_001008388	['ENST00000273986']
CLNS1A	NM_001293	['ENST00000525428']
HOXA1	NM_005522	['ENST00000343060']
TSHZ2	NM_173485	['ENST00000371497']
TSHZ3	NM_020856	['ENST00000240587']
TSHZ1	NM_005786	['ENST00000322038']
NOSIP	NM_001270960	['ENST00000596358']
VILL	NM_015873	['ENST00000484717', 'ENST00000383759', 'ENST00000283713']
ZNF582	NM_144690	['ENST00000301310']
CDK9	NM_001261	['ENST00000373265']
ZNF589	NM_016089	['ENST00000457782', 'ENST00000448461', 'ENST00000354698', 'ENST00000427617']
COL4A6	NM_001847	['ENST00000372216', 'ENST00000477085', 'ENST00000418180']
IGLL5	NM_001178126	['ENST00000532223']
PSD	NM_002779	['ENST00000020673']
CAMKK2	NM_006549	['ENST00000324774']
CAMKK1	NM_032294	['ENST00000348335']
LRIG3	NM_153377	['ENST00000320743']
MYO1H	NM_001101421	['ENST00000310903', 'ENST00000431443']
MYO1G	NM_033054	['ENST00000258787', 'ENST00000464434', 'ENST00000488554', 'ENST00000483585']
MYO1F	NM_012335	['ENST00000338257', 'ENST00000595325']
MYO1E	NM_004998	['ENST00000288235']
MYO1D	NM_015194	['ENST00000583621', 'ENST00000318217', 'ENST00000579584']
MYO1C	NM_033375	['ENST00000361007', 'ENST00000575158', 'ENST00000545534']
MYO1A	NM_005379	['ENST00000300119', 'ENST00000544473']
BCR	NM_004327	['ENST00000305877']
OR52N4	NM_001005175	['ENST00000317254']
OR52N5	NM_001001922	['ENST00000317093']
CTPS2	NM_019857	['ENST00000443824']
CTPS1	NM_001905	['ENST00000543104', 'ENST00000372621']
PGBD1	NM_032507	['ENST00000405948']
ZER1	NM_006336	['ENST00000291900']
TOMM20L	NM_207377	['ENST00000360945']
HOXA11	NM_005523	['ENST00000517402', 'ENST00000006015']
HOXA10	NM_018951	['ENST00000283921']
FAM160B1	NM_001135051	['ENST00000369250']
FAM160B2	NM_022749	['ENST00000488968', 'ENST00000450006', 'ENST00000496599', 'ENST00000289921']
GALNTL5	NM_145292	['ENST00000392800']
SRC	NM_005417	['ENST00000445403']
TSSK4	NM_174944	['ENST00000339917', 'ENST00000554420']
ZNF326	NM_182975	['ENST00000361911']
FAM214B	NM_025182	['ENST00000378566', 'ENST00000322813', 'ENST00000603301', 'ENST00000378561']
SRI	NM_003130	['ENST00000265729']
SRL	NM_001098814	['ENST00000572111', 'ENST00000399609']
LGALS8	NM_006499	['ENST00000526589']
LGALS3	NM_002306	['ENST00000254301']
LGALS2	NM_006498	['ENST00000215886']
SRY	NM_003140	['ENST00000383070']
NMU	NM_006681	['ENST00000511469', 'ENST00000264218', 'ENST00000515325', 'ENST00000507338']
NMS	NM_001011717	['ENST00000376865']
EIF2AK3	NM_004836	['ENST00000303236']
EIF2AK2	NM_001135651	['ENST00000233057']
TDG	NM_003211	['ENST00000544060', 'ENST00000392872']
EIF2AK4	NM_001013703	['ENST00000558629', 'ENST00000263791', 'ENST00000558557', 'ENST00000382727', 'ENST00000559624']
NMB	NM_205858	['ENST00000394588']
FAM136A	NM_032822	['ENST00000037869', 'ENST00000460307']
MYO16	NM_001198950	['ENST00000356711']
TRNT1	NM_182916	['ENST00000251607', 'ENST00000339437', 'ENST00000434583', 'ENST00000402675']
ASAP1	NM_018482	['ENST00000357668']
ASAP2	NM_003887	['ENST00000281419']
MYO10	NM_012334	['ENST00000513610', 'ENST00000507288']
OCRL	NM_000276	['ENST00000371113']
PLAUR	NM_002659	['ENST00000340093']
LOR	NM_000427	['ENST00000368742']
SLCO1B3	NM_019844	['ENST00000261196', 'ENST00000381545', 'ENST00000540853', 'ENST00000540229']
SLCO1B7	NM_001009562	['ENST00000381541', 'ENST00000421593']
LOX	NM_002317	['ENST00000231004']
LRRC29	NM_012163	['ENST00000409509', 'ENST00000393992', 'ENST00000409037']
LRRC28	NM_144598	['ENST00000301981']
ITCH	NM_031483	['ENST00000374864']
GCNT2	NM_001491	['ENST00000316170']
GCNT2	NM_145655	['ENST00000265012']
AACS	NM_023928	['ENST00000418937', 'ENST00000316543', 'ENST00000316519']
TPSD1	NM_012217	['ENST00000397534']
ELL	NM_006532	['ENST00000594635', 'ENST00000262809']
KRT20	NM_019010	['ENST00000167588']
INAVA	NM_018265	['ENST00000367342']
PIGA	NM_002641	['ENST00000333590']
PIGC	NM_002642	['ENST00000258324']
PIGF	NM_002643	['ENST00000281382']
PIGG	NM_001127178	['ENST00000453061', 'ENST00000509768']
PIGL	NM_004278	['ENST00000585034', 'ENST00000225609']
PIGN	NM_176787	['ENST00000357637']
PIGO	NM_032634	['ENST00000474436', 'ENST00000465745']
PIGP	NM_153682	['ENST00000360525']
PIGQ	NM_004204	['ENST00000321878']
PIGR	NM_002644	['ENST00000356495']
PIGT	NM_015937	['ENST00000279036']
PIGV	NM_017837	['ENST00000078527']
PIGW	NM_178517	['ENST00000328396']
RMND1	NM_017909	['ENST00000491268', 'ENST00000367303']
ANKLE1	NM_152363	['ENST00000394458']
SNAPC3	NM_001039697	['ENST00000380821', 'ENST00000467062']
TAX1BP3	NM_014604	['ENST00000225525']
ALPP	NM_001632	['ENST00000392027']
CHST11	NM_018413	['ENST00000303694']
OLR1	NM_002543	['ENST00000309539']
SERPINB8	NM_198833	['ENST00000353706']
SRRM1	NM_005839	['ENST00000323848', 'ENST00000596378', 'ENST00000479034']
CCDC171	NM_173550	['ENST00000432954', 'ENST00000535968', 'ENST00000380701', 'ENST00000297641']
SRRM2	NM_016333	['ENST00000301740']
CCDC174	NM_016474	['ENST00000383794', 'ENST00000303688', 'ENST00000465759']
SRRM4	NM_194286	['ENST00000267260']
SUN2	NM_015374	['ENST00000405510', 'ENST00000405018']
PDK3	NM_001142386	['ENST00000441463']
PDK2	NM_001199898	['ENST00000007708']
ALPG	NM_031313	['ENST00000295453']
PDK4	NM_002612	['ENST00000005178']
LNPEP	NM_005575	['ENST00000231368']
ALPI	NM_001631	['ENST00000295463']
SEC61A1	NM_013336	['ENST00000424880', 'ENST00000483956', 'ENST00000243253']
ALPL	NM_000478	['ENST00000374840']
PTGS2	NM_000963	['ENST00000367468']
PTGS1	NM_000962	['ENST00000362012']
RGL2	NM_004761	['ENST00000497454', 'ENST00000413136', 'ENST00000452084', 'ENST00000383204', 'ENST00000416548']
PUF60	NM_078480	['ENST00000526683']
SUN5	NM_080675	['ENST00000356173']
SLC39A12	NM_001145195	['ENST00000377369']
SLC39A13	NM_152264	['ENST00000533076', 'ENST00000354884']
SLC39A14	NM_015359	['ENST00000359741']
DNAJC17	NM_018163	['ENST00000561018', 'ENST00000560645', 'ENST00000220496']
CEP120	NM_153223	['ENST00000508138', 'ENST00000328236']
NTRK1	NM_001007792	['ENST00000497019', 'ENST00000392302']
NTRK1	NM_001012331	['ENST00000368196']
NTRK2	NM_006180	['ENST00000376214']
CEP126	NM_020802	['ENST00000263468', 'ENST00000532529']
SMAD4	NM_005359	['ENST00000590722', 'ENST00000398417', 'ENST00000342988']
ARHGAP21	NM_020824	['ENST00000376410', 'ENST00000396432', 'ENST00000476499', 'ENST00000446003']
ARHGAP20	NM_020809	['ENST00000260283']
ARHGAP24	NM_001025616	['ENST00000395184', 'ENST00000503995']
ARHGAP29	NM_004815	['ENST00000260526', 'ENST00000370217', 'ENST00000482481', 'ENST00000552844']
ARHGAP28	NM_001010000	['ENST00000419673', 'ENST00000532996', 'ENST00000262227']
HHAT	NM_018194	['ENST00000545154', 'ENST00000261458']
MICALCL	NM_032867	['ENST00000256186']
MTX1	NM_002455	['ENST00000368376']
COL19A1	NM_001858	['ENST00000322773']
MYSM1	NM_001085487	['ENST00000472487']
NEXMIF	NM_001008537	['ENST00000055682']
ATG2B	NM_018036	['ENST00000359933']
MLYCD	NM_012213	['ENST00000262430']
BMP6	NM_001718	['ENST00000283147']
BMP5	NM_021073	['ENST00000370830']
BMP4	NM_001202	['ENST00000245451']
BMP2	NM_001200	['ENST00000378827']
BMP1	NM_006129	['ENST00000306385']
BMP1	NM_001199	['ENST00000520970']
KIAA0586	NM_001244189	['ENST00000423743']
TERF2	NM_005652	['ENST00000254942', 'ENST00000567296']
NDUFAF1	NM_016013	['ENST00000559127', 'ENST00000260361']
FEM1A	NM_018708	['ENST00000269856']
MARCH10	NM_152598	['ENST00000544856', 'ENST00000583600']
RASSF1	NM_007182	['ENST00000359365', 'ENST00000478619']
FKTN	NM_001079802	['ENST00000223528']
RASSF5	NM_182663	['ENST00000491368']
RASSF4	NM_032023	['ENST00000334940', 'ENST00000465735', 'ENST00000489171', 'ENST00000374417']
NHP2	NM_017838	['ENST00000274606']
CHD1	NM_001270	['ENST00000514344', 'ENST00000284049']
NFS1	NM_021100	['ENST00000374092', 'ENST00000374085']
CHD3	NM_001005271	['ENST00000380358']
CHD2	NM_001271	['ENST00000557381', 'ENST00000394196']
CHD5	NM_015557	['ENST00000378021', 'ENST00000262450']
CHD4	NM_001273	['ENST00000357008', 'ENST00000309577']
CHD7	NM_017780	['ENST00000525508', 'ENST00000423902']
CHD9	NM_025134	['ENST00000565803', 'ENST00000566029', 'ENST00000569225', 'ENST00000447540']
CHD8	NM_001170629	['ENST00000399982']
CAP2	NM_006366	['ENST00000229922']
